"year","goal_id","dimension","region_id","value"
"2012","AO","pressures","25","37.99"
"2012","AO","pressures","26","34.12"
"2012","AO","pressures","28","48.48"
"2012","AO","pressures","29","22.41"
"2012","AO","pressures","30","17.67"
"2012","AO","pressures","31","24.89"
"2012","AO","pressures","32","17.76"
"2012","AO","pressures","33","17.22"
"2012","AO","pressures","34","16.2"
"2012","AO","pressures","35","16.1"
"2012","AO","pressures","36","16.06"
"2012","AO","pressures","37","20.67"
"2012","AO","pressures","38","10.3"
"2012","AO","pressures","39","32.33"
"2012","AO","pressures","40","30.56"
"2012","AO","pressures","41","33.87"
"2012","AO","pressures","42","36.59"
"2012","AO","pressures","43","35.38"
"2012","AO","pressures","44","46.83"
"2012","AO","pressures","45","45.19"
"2012","AO","pressures","46","43.94"
"2012","AO","pressures","47","42.17"
"2012","AO","pressures","48","27.93"
"2012","AO","pressures","49","54.99"
"2012","AO","pressures","50","43.83"
"2012","AO","pressures","51","40.61"
"2012","AO","pressures","52","45.98"
"2012","AO","pressures","53","42.82"
"2012","AO","pressures","54","34.44"
"2012","AO","pressures","55","17.66"
"2012","AO","pressures","56","22.74"
"2012","AO","pressures","57","18.02"
"2012","AO","pressures","58","19.73"
"2012","AO","pressures","59","22.34"
"2012","AO","pressures","60","24.27"
"2012","AO","pressures","61","32.52"
"2012","AO","pressures","62","34.45"
"2012","AO","pressures","63","29.3"
"2012","AO","pressures","64","40.97"
"2012","AO","pressures","65","38.35"
"2012","AO","pressures","66","34.59"
"2012","AO","pressures","67","35.34"
"2012","AO","pressures","68","20.67"
"2012","AO","pressures","69","24"
"2012","AO","pressures","70","20.25"
"2012","AO","pressures","71","22.51"
"2012","AO","pressures","72","23.63"
"2012","AO","pressures","73","30.5"
"2012","AO","pressures","74","26.43"
"2012","AO","pressures","75","29.17"
"2012","AO","pressures","76","31.64"
"2012","AO","pressures","77","39.21"
"2012","AO","pressures","78","35.55"
"2012","AO","pressures","79","23.85"
"2012","AO","pressures","80","24.25"
"2012","AO","pressures","81","17.28"
"2012","AO","pressures","82","33.23"
"2012","AO","pressures","84","34.31"
"2012","AO","pressures","85","11.46"
"2012","AO","pressures","86","12.18"
"2012","AO","pressures","88","10.48"
"2012","AO","pressures","89","13.62"
"2012","AO","pressures","90","22.67"
"2012","AO","pressures","91","15.6"
"2012","AO","pressures","92","15.74"
"2012","AO","pressures","93","16.6"
"2012","AO","pressures","94","9.85"
"2012","AO","pressures","95","12.36"
"2012","AO","pressures","96","42.82"
"2012","AO","pressures","97","33.79"
"2012","AO","pressures","98","40.3"
"2012","AO","pressures","99","33.93"
"2012","AO","pressures","100","38.1"
"2012","AO","pressures","101","25.83"
"2012","AO","pressures","102","25.43"
"2012","AO","pressures","103","30.29"
"2012","AO","pressures","104","37.42"
"2012","AO","pressures","105","7.85"
"2012","AO","pressures","106","30.19"
"2012","AO","pressures","107","15.86"
"2012","AO","pressures","108","16.3"
"2012","AO","pressures","110","19.14"
"2012","AO","pressures","111","13.61"
"2012","AO","pressures","112","29.24"
"2012","AO","pressures","113","15.84"
"2012","AO","pressures","114","43.5"
"2012","AO","pressures","115","28.86"
"2012","AO","pressures","116","20.48"
"2012","AO","pressures","117","14.42"
"2012","AO","pressures","118","13.86"
"2012","AO","pressures","119","20.18"
"2012","AO","pressures","120","18.05"
"2012","AO","pressures","121","15.03"
"2012","AO","pressures","122","20.78"
"2012","AO","pressures","123","19.9"
"2012","AO","pressures","124","18.01"
"2012","AO","pressures","125","24.11"
"2012","AO","pressures","126","24.72"
"2012","AO","pressures","127","19.88"
"2012","AO","pressures","129","25.14"
"2012","AO","pressures","130","18.73"
"2012","AO","pressures","131","31.42"
"2012","AO","pressures","132","26.8"
"2012","AO","pressures","133","31.56"
"2012","AO","pressures","134","28.87"
"2012","AO","pressures","135","27.01"
"2012","AO","pressures","136","32.11"
"2012","AO","pressures","137","29.66"
"2012","AO","pressures","138","27.83"
"2012","AO","pressures","139","38.89"
"2012","AO","pressures","140","19.8"
"2012","AO","pressures","141","14.08"
"2012","AO","pressures","143","14.05"
"2012","AO","pressures","144","11.36"
"2012","AO","pressures","145","11.89"
"2012","AO","pressures","146","12.91"
"2012","AO","pressures","147","17.09"
"2012","AO","pressures","148","25.19"
"2012","AO","pressures","149","17.73"
"2012","AO","pressures","150","17.71"
"2012","AO","pressures","151","20.36"
"2012","AO","pressures","152","23.34"
"2012","AO","pressures","153","28.91"
"2012","AO","pressures","154","26.25"
"2012","AO","pressures","155","25.84"
"2012","AO","pressures","156","23.43"
"2012","AO","pressures","157","28.14"
"2012","AO","pressures","158","17.45"
"2012","AO","pressures","159","17.65"
"2012","AO","pressures","161","26.54"
"2012","AO","pressures","162","10.37"
"2012","AO","pressures","163","17.81"
"2012","AO","pressures","164","29"
"2012","AO","pressures","166","24.95"
"2012","AO","pressures","167","28.85"
"2012","AO","pressures","168","26.12"
"2012","AO","pressures","169","16.48"
"2012","AO","pressures","171","25.39"
"2012","AO","pressures","172","30.86"
"2012","AO","pressures","173","22.39"
"2012","AO","pressures","174","13.84"
"2012","AO","pressures","175","19.5"
"2012","AO","pressures","176","22.13"
"2012","AO","pressures","177","21.77"
"2012","AO","pressures","178","24.73"
"2012","AO","pressures","179","18.72"
"2012","AO","pressures","180","21.15"
"2012","AO","pressures","181","16.94"
"2012","AO","pressures","182","18.83"
"2012","AO","pressures","183","18.26"
"2012","AO","pressures","184","22.97"
"2012","AO","pressures","185","22.22"
"2012","AO","pressures","186","28.97"
"2012","AO","pressures","187","26.33"
"2012","AO","pressures","188","23.43"
"2012","AO","pressures","189","24.33"
"2012","AO","pressures","190","31.85"
"2012","AO","pressures","191","39.59"
"2012","AO","pressures","192","53.26"
"2012","AO","pressures","193","41.5"
"2012","AO","pressures","194","44.18"
"2012","AO","pressures","195","39.03"
"2012","AO","pressures","196","46.83"
"2012","AO","pressures","197","50.7"
"2012","AO","pressures","198","32.41"
"2012","AO","pressures","199","45.22"
"2012","AO","pressures","200","38.92"
"2012","AO","pressures","202","53.25"
"2012","AO","pressures","203","37.36"
"2012","AO","pressures","204","43.48"
"2012","AO","pressures","205","45.31"
"2012","AO","pressures","206","42.25"
"2012","AO","pressures","207","46.1"
"2012","AO","pressures","208","37.15"
"2012","AO","pressures","209","45.3"
"2012","AO","pressures","210","20.03"
"2012","AO","pressures","212","28.16"
"2012","AO","pressures","213","NA"
"2012","AO","pressures","214","34.49"
"2012","AO","pressures","215","43.44"
"2012","AO","pressures","216","37.78"
"2012","AO","pressures","218","10.79"
"2012","AO","pressures","219","21.66"
"2012","AO","pressures","220","22.1"
"2012","AO","pressures","221","21.52"
"2012","AO","pressures","222","15.71"
"2012","AO","pressures","223","14.73"
"2012","AO","pressures","224","15.92"
"2012","AO","pressures","227","22.57"
"2012","AO","pressures","228","22.4"
"2012","AO","pressures","231","36.97"
"2012","AO","pressures","232","40.36"
"2012","AO","pressures","237","44.3"
"2012","AO","pressures","244","19.41"
"2012","AO","pressures","245","17.59"
"2012","AO","pressures","247","26.83"
"2012","AO","pressures","248","22.05"
"2012","AO","pressures","249","22.68"
"2012","AO","pressures","250","15.67"
"2012","AO","resilience","1","78.71"
"2012","AO","resilience","2","78.97"
"2012","AO","resilience","3","77.94"
"2012","AO","resilience","4","86.27"
"2012","AO","resilience","5","74"
"2012","AO","resilience","6","59.2"
"2012","AO","resilience","7","57.24"
"2012","AO","resilience","8","76.64"
"2012","AO","resilience","9","58.3"
"2012","AO","resilience","10","58.54"
"2012","AO","resilience","11","61.05"
"2012","AO","resilience","12","69.5"
"2012","AO","resilience","13","63.09"
"2012","AO","resilience","14","74.05"
"2012","AO","resilience","15","60.35"
"2012","AO","resilience","16","90.01"
"2012","AO","resilience","17","48.73"
"2012","AO","resilience","18","62.21"
"2012","AO","resilience","19","55.65"
"2012","AO","resilience","20","80.27"
"2012","AO","resilience","21","45.71"
"2012","AO","resilience","24","56.06"
"2012","AO","resilience","25","67.14"
"2012","AO","resilience","26","61.89"
"2012","AO","resilience","28","63"
"2012","AO","resilience","29","82.59"
"2012","AO","resilience","30","80"
"2012","AO","resilience","31","70.04"
"2012","AO","resilience","32","70.7"
"2012","AO","resilience","33","67.32"
"2012","AO","resilience","34","64.89"
"2012","AO","resilience","35","79.87"
"2012","AO","resilience","36","66.58"
"2012","AO","resilience","37","69.11"
"2012","AO","resilience","38","85.86"
"2012","AO","resilience","39","56.94"
"2012","AO","resilience","40","61.61"
"2012","AO","resilience","41","66.16"
"2012","AO","resilience","42","57.18"
"2012","AO","resilience","43","64.38"
"2012","AO","resilience","44","37.05"
"2012","AO","resilience","45","45.42"
"2012","AO","resilience","46","52.55"
"2012","AO","resilience","47","44.38"
"2012","AO","resilience","48","59"
"2012","AO","resilience","49","42.73"
"2012","AO","resilience","50","64.66"
"2012","AO","resilience","51","61.96"
"2012","AO","resilience","52","56.46"
"2012","AO","resilience","53","52.68"
"2012","AO","resilience","54","72.74"
"2012","AO","resilience","55","75.15"
"2012","AO","resilience","56","63.97"
"2012","AO","resilience","57","81.71"
"2012","AO","resilience","58","79.65"
"2012","AO","resilience","59","86.39"
"2012","AO","resilience","60","82.08"
"2012","AO","resilience","61","62.13"
"2012","AO","resilience","62","61.96"
"2012","AO","resilience","63","52.38"
"2012","AO","resilience","64","64.77"
"2012","AO","resilience","65","58.09"
"2012","AO","resilience","66","67.48"
"2012","AO","resilience","67","47.03"
"2012","AO","resilience","68","78.25"
"2012","AO","resilience","69","81.56"
"2012","AO","resilience","70","83.31"
"2012","AO","resilience","71","74.62"
"2012","AO","resilience","72","77.18"
"2012","AO","resilience","73","62.2"
"2012","AO","resilience","74","61.05"
"2012","AO","resilience","75","65.92"
"2012","AO","resilience","76","61.86"
"2012","AO","resilience","77","52.05"
"2012","AO","resilience","78","58.02"
"2012","AO","resilience","79","65.6"
"2012","AO","resilience","80","77.95"
"2012","AO","resilience","81","74.5"
"2012","AO","resilience","82","62.34"
"2012","AO","resilience","84","52.67"
"2012","AO","resilience","85","71.88"
"2012","AO","resilience","86","72.2"
"2012","AO","resilience","88","70.47"
"2012","AO","resilience","89","82.33"
"2012","AO","resilience","90","60.39"
"2012","AO","resilience","91","78.5"
"2012","AO","resilience","92","77.01"
"2012","AO","resilience","93","79.21"
"2012","AO","resilience","94","87.02"
"2012","AO","resilience","95","73.33"
"2012","AO","resilience","96","51.88"
"2012","AO","resilience","97","51.42"
"2012","AO","resilience","98","48.58"
"2012","AO","resilience","99","53.92"
"2012","AO","resilience","100","60.7"
"2012","AO","resilience","101","70.76"
"2012","AO","resilience","102","72.56"
"2012","AO","resilience","103","53.5"
"2012","AO","resilience","104","50.66"
"2012","AO","resilience","105","87.85"
"2012","AO","resilience","106","59.11"
"2012","AO","resilience","107","62.81"
"2012","AO","resilience","108","70.41"
"2012","AO","resilience","110","70.9"
"2012","AO","resilience","111","74.29"
"2012","AO","resilience","112","72.76"
"2012","AO","resilience","113","73.32"
"2012","AO","resilience","114","46.53"
"2012","AO","resilience","115","70.68"
"2012","AO","resilience","116","70.27"
"2012","AO","resilience","117","72.9"
"2012","AO","resilience","118","76.61"
"2012","AO","resilience","119","67.02"
"2012","AO","resilience","120","75.74"
"2012","AO","resilience","121","72.86"
"2012","AO","resilience","122","72.57"
"2012","AO","resilience","123","68.06"
"2012","AO","resilience","124","73.51"
"2012","AO","resilience","125","67.14"
"2012","AO","resilience","126","63.67"
"2012","AO","resilience","127","73.02"
"2012","AO","resilience","129","73.41"
"2012","AO","resilience","130","77.78"
"2012","AO","resilience","131","68.03"
"2012","AO","resilience","132","66.98"
"2012","AO","resilience","133","71.37"
"2012","AO","resilience","134","71.35"
"2012","AO","resilience","135","74.86"
"2012","AO","resilience","136","65.19"
"2012","AO","resilience","137","70.53"
"2012","AO","resilience","138","63.63"
"2012","AO","resilience","139","58.64"
"2012","AO","resilience","140","80.64"
"2012","AO","resilience","141","72.4"
"2012","AO","resilience","143","74.13"
"2012","AO","resilience","144","87.2"
"2012","AO","resilience","145","84.59"
"2012","AO","resilience","146","72.7"
"2012","AO","resilience","147","71.05"
"2012","AO","resilience","148","57.1"
"2012","AO","resilience","149","69.62"
"2012","AO","resilience","150","69.44"
"2012","AO","resilience","151","68.52"
"2012","AO","resilience","152","66.09"
"2012","AO","resilience","153","59.95"
"2012","AO","resilience","154","60.58"
"2012","AO","resilience","155","59.38"
"2012","AO","resilience","156","66.15"
"2012","AO","resilience","157","69.4"
"2012","AO","resilience","158","66.52"
"2012","AO","resilience","159","69.57"
"2012","AO","resilience","161","70.97"
"2012","AO","resilience","162","80.02"
"2012","AO","resilience","163","73.39"
"2012","AO","resilience","164","75.55"
"2012","AO","resilience","166","69.81"
"2012","AO","resilience","167","57.31"
"2012","AO","resilience","168","69.2"
"2012","AO","resilience","169","82.19"
"2012","AO","resilience","171","74.95"
"2012","AO","resilience","172","70.46"
"2012","AO","resilience","173","75.05"
"2012","AO","resilience","174","88.32"
"2012","AO","resilience","175","86.82"
"2012","AO","resilience","176","87.51"
"2012","AO","resilience","177","86.52"
"2012","AO","resilience","178","81.76"
"2012","AO","resilience","179","84.85"
"2012","AO","resilience","180","86.64"
"2012","AO","resilience","181","82.3"
"2012","AO","resilience","182","78.62"
"2012","AO","resilience","183","81.34"
"2012","AO","resilience","184","76.11"
"2012","AO","resilience","185","64.55"
"2012","AO","resilience","186","53.65"
"2012","AO","resilience","187","65.98"
"2012","AO","resilience","188","70.37"
"2012","AO","resilience","189","83.31"
"2012","AO","resilience","190","71.85"
"2012","AO","resilience","191","55.63"
"2012","AO","resilience","192","46.55"
"2012","AO","resilience","193","62.15"
"2012","AO","resilience","194","53.27"
"2012","AO","resilience","195","50.52"
"2012","AO","resilience","196","45.77"
"2012","AO","resilience","197","57.2"
"2012","AO","resilience","198","57.9"
"2012","AO","resilience","199","46.15"
"2012","AO","resilience","200","46.31"
"2012","AO","resilience","202","68.53"
"2012","AO","resilience","203","58.94"
"2012","AO","resilience","204","57.57"
"2012","AO","resilience","205","49.1"
"2012","AO","resilience","206","68.9"
"2012","AO","resilience","207","69.43"
"2012","AO","resilience","208","70.28"
"2012","AO","resilience","209","59.17"
"2012","AO","resilience","210","85.31"
"2012","AO","resilience","212","56.71"
"2012","AO","resilience","213","NA"
"2012","AO","resilience","214","67.85"
"2012","AO","resilience","215","62.65"
"2012","AO","resilience","216","65.52"
"2012","AO","resilience","218","77.12"
"2012","AO","resilience","219","68.96"
"2012","AO","resilience","220","77.97"
"2012","AO","resilience","221","82.72"
"2012","AO","resilience","222","85.76"
"2012","AO","resilience","223","87.69"
"2012","AO","resilience","224","82.99"
"2012","AO","resilience","227","80.91"
"2012","AO","resilience","228","74.95"
"2012","AO","resilience","231","55.44"
"2012","AO","resilience","232","57.77"
"2012","AO","resilience","237","52.3"
"2012","AO","resilience","244","68.25"
"2012","AO","resilience","245","69.62"
"2012","AO","resilience","247","69.11"
"2012","AO","resilience","248","76.51"
"2012","AO","resilience","249","72.32"
"2012","AO","resilience","250","72.12"
"2012","AO","score","0","75.09"
"2012","AO","score","1","73.28"
"2012","AO","score","2","73.28"
"2012","AO","score","3","40.97"
"2012","AO","score","4","NA"
"2012","AO","score","5","81.72"
"2012","AO","score","6","62.12"
"2012","AO","score","7","80.91"
"2012","AO","score","8","78.52"
"2012","AO","score","9","78.59"
"2012","AO","score","10","65.66"
"2012","AO","score","11","81.23"
"2012","AO","score","12","NA"
"2012","AO","score","13","74.12"
"2012","AO","score","14","54.5"
"2012","AO","score","15","88.37"
"2012","AO","score","16","71.9"
"2012","AO","score","17","81.19"
"2012","AO","score","18","78.49"
"2012","AO","score","19","81.18"
"2012","AO","score","20","56.31"
"2012","AO","score","21","57"
"2012","AO","score","24","85.5"
"2012","AO","score","25","85.33"
"2012","AO","score","26","81.25"
"2012","AO","score","28","62.69"
"2012","AO","score","29","67.07"
"2012","AO","score","30","NA"
"2012","AO","score","31","83.05"
"2012","AO","score","32","82.2"
"2012","AO","score","33","NA"
"2012","AO","score","34","NA"
"2012","AO","score","35","NA"
"2012","AO","score","36","NA"
"2012","AO","score","37","74.81"
"2012","AO","score","38","64.69"
"2012","AO","score","39","64.8"
"2012","AO","score","40","83.61"
"2012","AO","score","41","66.55"
"2012","AO","score","42","55.32"
"2012","AO","score","43","87.04"
"2012","AO","score","44","94.89"
"2012","AO","score","45","59.43"
"2012","AO","score","46","67.34"
"2012","AO","score","47","71.61"
